Qty;Value;Device;Package;Parts;Description;MF;MPN;OC_FARNELL;OC_NEWARK;POPULARITY;SPICEPREFIX
10;;SPST;SPST.WIRE;FSW_1, FSW_2, FSW_3, FSW_4, FSW_5, XSW_1, XSW_2, XSW_3, XSW_4, XSW_5;SPST Switches;;;;;;
5;100k;R-US_0204/5;0204/5;R2, R18, R21, R24, R27;RESISTOR, American symbol;;;;;18;R
6;100n;C-EU050-025X075;C050-025X075;C3, C4, C5, C6, C7, C8;CAPACITOR, European symbol;;;;;;C
1;10k;R-US_0204/5;0204/5;R8;RESISTOR, American symbol;;;;;18;R
6;1N4148;DO35.2;DO35-2;D1, D3, D5, D7, D9, D11;1n914, BAT4x, 1n34a;;;;;;
5;1k;R-US_0204/5;0204/5;R1, R17, R20, R23, R26;RESISTOR, American symbol;;;;;18;R
1;1n5817;DO41.3;DO41-3;D2;1N400x, 1N5817;;;;;;
2;220R;R-US_0204/5;0204/5;R7, R34;RESISTOR, American symbol;;;;;18;R
1;470R;R-US_0204/5;0204/5;R6;RESISTOR, American symbol;;;;;18;R
5;47k;R-US_0204/5;0204/5;R3, R9, R11, R13, R15;RESISTOR, American symbol;;;;;18;R
2;47u;6MM.2;632;C1, C2;6.3mm diameter caps;;;;;;
10;4k7;R-US_0204/5;0204/5;R4, R10, R12, R14, R16, R29, R30, R31, R32, R33;RESISTOR, American symbol;;;;;18;R
1;6N138;6N138;DIL08;OK1;MOTOROLA OPTO COUPLER;VISHAY/TELEFUNKEN;6N138;9860150;35K5294;;
1;7805TV;7805TV;TO220V;IC1;Positive VOLTAGE REGULATOR;;;;;;
5;BC549;BC549;TO92;Q1, Q2, Q3, Q4, Q5;NPN - BC549x, BC550x;;;;;;
10;EC2-5NU;EC2-5NU;8-PIN;RELAY1, RELAY2, RELAY3, RELAY4, RELAY5, RELAY6, RELAY7, RELAY8, RELAY9, RELAY10;Low Signal Relay, DPDT, 5v coil voltage;;;;;;
5;LED.3;LED.3;3MM_2;D4, D6, D8, D10, D12;LEDs, all sizes;;;;;;
1;LM78L.;LM78L.;TO92;REG1;TO-92 Type, 100mA;;;;;;
1;NANO;NANO;NANO;U$1;Arduino Nano;;;;;;
5;RLED;R-US_0204/5;0204/5;R5, R19, R22, R25, R28;RESISTOR, American symbol;;;;;18;R
